========== V1 详细装箱坐标 ==========

第1辆车，装载164件，容积利用率 65.62%，重量利用率 33.02%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G1, 90.0, 135.0, 60.0, 60.0, 40.0, 30.0
G5, 380.0, 130.0, 60.0, 40.0, 40.0, 60.0
G5, 150.0, 135.0, 60.0, 40.0, 40.0, 60.0
G2, 140.0, 175.0, 25.0, 50.0, 35.0, 25.0
G2, 260.0, 175.0, 25.0, 50.0, 35.0, 25.0
G1, 0.0, 70.0, 70.0, 60.0, 40.0, 30.0
G2, 0.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 90.0, 0.0, 50.0, 50.0, 35.0, 25.0
G1, 90.0, 95.0, 90.0, 60.0, 40.0, 30.0
G5, 260.0, 95.0, 90.0, 40.0, 40.0, 60.0
G2, 140.0, 0.0, 50.0, 50.0, 35.0, 25.0
G1, 320.0, 130.0, 90.0, 60.0, 40.0, 30.0
G1, 0.0, 70.0, 100.0, 60.0, 40.0, 30.0
G5, 90.0, 135.0, 90.0, 40.0, 40.0, 60.0
G5, 260.0, 135.0, 90.0, 40.0, 40.0, 60.0
G5, 50.0, 0.0, 120.0, 40.0, 40.0, 60.0
G2, 230.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 280.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 330.0, 0.0, 50.0, 50.0, 35.0, 25.0
G1, 320.0, 130.0, 120.0, 60.0, 40.0, 30.0
G1, 0.0, 70.0, 130.0, 60.0, 40.0, 30.0
G5, 90.0, 95.0, 120.0, 40.0, 40.0, 60.0
G1, 320.0, 130.0, 150.0, 60.0, 40.0, 30.0
G2, 0.0, 35.0, 50.0, 50.0, 35.0, 25.0
G2, 210.0, 95.0, 50.0, 50.0, 35.0, 25.0
G2, 320.0, 95.0, 50.0, 50.0, 35.0, 25.0
G5, 380.0, 130.0, 120.0, 40.0, 40.0, 60.0
G1, 0.0, 70.0, 160.0, 60.0, 40.0, 30.0
G2, 210.0, 165.0, 50.0, 50.0, 35.0, 25.0
G5, 90.0, 135.0, 150.0, 40.0, 40.0, 60.0
G2, 320.0, 170.0, 50.0, 50.0, 35.0, 25.0
G2, 90.0, 175.0, 50.0, 50.0, 35.0, 25.0
G2, 140.0, 175.0, 50.0, 50.0, 35.0, 25.0
G2, 260.0, 175.0, 50.0, 50.0, 35.0, 25.0
G1, 0.0, 180.0, 0.0, 60.0, 30.0, 40.0
G2, 0.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 0.0, 180.0, 40.0, 60.0, 30.0, 40.0
G2, 140.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 0.0, 180.0, 80.0, 60.0, 30.0, 40.0
G1, 150.0, 95.0, 90.0, 60.0, 30.0, 40.0
G2, 230.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 0.0, 180.0, 120.0, 60.0, 30.0, 40.0
G1, 150.0, 95.0, 130.0, 60.0, 30.0, 40.0
G1, 0.0, 180.0, 160.0, 60.0, 30.0, 40.0
G1, 380.0, 0.0, 0.0, 40.0, 30.0, 60.0
G1, 50.0, 40.0, 0.0, 40.0, 30.0, 60.0
G2, 280.0, 0.0, 75.0, 50.0, 35.0, 25.0
G2, 330.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 370.0, 95.0, 50.0, 40.0, 30.0, 60.0
G1, 210.0, 130.0, 50.0, 40.0, 30.0, 60.0
G2, 0.0, 35.0, 75.0, 50.0, 35.0, 25.0
G2, 320.0, 95.0, 75.0, 50.0, 35.0, 25.0
G1, 380.0, 0.0, 60.0, 40.0, 30.0, 60.0
G2, 210.0, 165.0, 75.0, 50.0, 35.0, 25.0
G2, 320.0, 170.0, 75.0, 50.0, 35.0, 25.0
G2, 90.0, 175.0, 75.0, 50.0, 35.0, 25.0
G1, 50.0, 40.0, 60.0, 40.0, 30.0, 60.0
G2, 140.0, 175.0, 75.0, 50.0, 35.0, 25.0
G1, 210.0, 95.0, 75.0, 40.0, 30.0, 60.0
G2, 260.0, 175.0, 75.0, 50.0, 35.0, 25.0
G1, 0.0, 0.0, 100.0, 40.0, 30.0, 60.0
G1, 140.0, 0.0, 100.0, 40.0, 30.0, 60.0
G2, 230.0, 0.0, 100.0, 50.0, 35.0, 25.0
G1, 330.0, 0.0, 100.0, 40.0, 30.0, 60.0
G1, 0.0, 35.0, 100.0, 40.0, 30.0, 60.0
G2, 320.0, 95.0, 100.0, 50.0, 35.0, 25.0
G2, 210.0, 165.0, 100.0, 50.0, 35.0, 25.0
G2, 320.0, 170.0, 100.0, 50.0, 35.0, 25.0
G1, 90.0, 175.0, 100.0, 40.0, 30.0, 60.0
G2, 140.0, 175.0, 100.0, 50.0, 35.0, 25.0
G1, 260.0, 175.0, 100.0, 40.0, 30.0, 60.0
G1, 370.0, 95.0, 110.0, 40.0, 30.0, 60.0
G2, 320.0, 170.0, 125.0, 50.0, 35.0, 25.0
G2, 140.0, 175.0, 125.0, 50.0, 35.0, 25.0
G1, 210.0, 130.0, 110.0, 40.0, 30.0, 60.0
G1, 380.0, 0.0, 120.0, 40.0, 30.0, 60.0
G1, 320.0, 95.0, 125.0, 40.0, 30.0, 60.0
G1, 210.0, 165.0, 125.0, 40.0, 30.0, 60.0
G1, 210.0, 95.0, 135.0, 40.0, 30.0, 60.0
G1, 260.0, 95.0, 150.0, 40.0, 30.0, 60.0
G1, 320.0, 170.0, 150.0, 40.0, 30.0, 60.0
G1, 140.0, 175.0, 150.0, 40.0, 30.0, 60.0
G1, 390.0, 35.0, 0.0, 30.0, 60.0, 40.0
G1, 390.0, 35.0, 40.0, 30.0, 60.0, 40.0
G1, 390.0, 35.0, 80.0, 30.0, 60.0, 40.0
G2, 0.0, 70.0, 190.0, 50.0, 35.0, 25.0
G1, 190.0, 0.0, 120.0, 30.0, 40.0, 60.0
G2, 90.0, 0.0, 75.0, 50.0, 25.0, 35.0
G2, 280.0, 0.0, 100.0, 50.0, 25.0, 35.0
G2, 90.0, 0.0, 110.0, 50.0, 25.0, 35.0
G2, 230.0, 0.0, 125.0, 50.0, 25.0, 35.0
G2, 280.0, 0.0, 135.0, 50.0, 25.0, 35.0
G2, 90.0, 0.0, 145.0, 50.0, 25.0, 35.0
G2, 230.0, 0.0, 160.0, 50.0, 25.0, 35.0
G2, 90.0, 0.0, 180.0, 50.0, 25.0, 35.0
G2, 190.0, 40.0, 120.0, 35.0, 25.0, 50.0
G2, 0.0, 0.0, 160.0, 35.0, 25.0, 50.0
G2, 330.0, 0.0, 160.0, 35.0, 25.0, 50.0
G2, 0.0, 35.0, 160.0, 35.0, 25.0, 50.0
G2, 90.0, 175.0, 160.0, 35.0, 25.0, 50.0

第4辆车，装载159件，容积利用率 70.35%，重量利用率 33.72%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G2, 0.0, 0.0, 0.0, 50.0, 35.0, 25.0
G1, 50.0, 0.0, 0.0, 60.0, 40.0, 30.0
G1, 110.0, 0.0, 0.0, 60.0, 40.0, 30.0
G5, 170.0, 0.0, 0.0, 40.0, 40.0, 60.0
G1, 210.0, 0.0, 0.0, 60.0, 40.0, 30.0
G1, 270.0, 0.0, 0.0, 60.0, 40.0, 30.0
G4, 330.0, 0.0, 0.0, 80.0, 60.0, 50.0
G5, 0.0, 35.0, 0.0, 40.0, 40.0, 60.0
G2, 50.0, 40.0, 0.0, 50.0, 35.0, 25.0
G2, 100.0, 40.0, 0.0, 50.0, 35.0, 25.0
G4, 150.0, 40.0, 0.0, 80.0, 60.0, 50.0
G3, 230.0, 40.0, 0.0, 70.0, 50.0, 40.0
G5, 330.0, 60.0, 0.0, 40.0, 40.0, 60.0
G3, 0.0, 75.0, 0.0, 70.0, 50.0, 40.0
G3, 70.0, 75.0, 0.0, 70.0, 50.0, 40.0
G2, 370.0, 60.0, 0.0, 50.0, 35.0, 25.0
G1, 230.0, 90.0, 0.0, 60.0, 40.0, 30.0
G1, 150.0, 100.0, 0.0, 60.0, 40.0, 30.0
G2, 370.0, 95.0, 0.0, 50.0, 35.0, 25.0
G4, 0.0, 125.0, 0.0, 80.0, 60.0, 50.0
G4, 230.0, 130.0, 0.0, 80.0, 60.0, 50.0
G3, 80.0, 125.0, 0.0, 70.0, 50.0, 40.0
G2, 310.0, 130.0, 0.0, 50.0, 35.0, 25.0
G4, 150.0, 140.0, 0.0, 80.0, 60.0, 50.0
G1, 360.0, 130.0, 0.0, 60.0, 40.0, 30.0
G5, 290.0, 90.0, 0.0, 40.0, 40.0, 60.0
G2, 310.0, 165.0, 0.0, 50.0, 35.0, 25.0
G3, 360.0, 170.0, 0.0, 50.0, 40.0, 70.0
G5, 50.0, 0.0, 30.0, 40.0, 40.0, 60.0
G2, 80.0, 175.0, 0.0, 50.0, 35.0, 25.0
G2, 0.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 110.0, 0.0, 30.0, 60.0, 40.0, 30.0
G4, 330.0, 0.0, 50.0, 80.0, 60.0, 50.0
G1, 210.0, 0.0, 30.0, 60.0, 40.0, 30.0
G2, 50.0, 40.0, 25.0, 50.0, 35.0, 25.0
G2, 100.0, 40.0, 25.0, 50.0, 35.0, 25.0
G1, 270.0, 0.0, 30.0, 60.0, 40.0, 30.0
G4, 150.0, 40.0, 50.0, 80.0, 60.0, 50.0
G4, 0.0, 125.0, 50.0, 80.0, 60.0, 50.0
G1, 230.0, 90.0, 30.0, 60.0, 40.0, 30.0
G1, 150.0, 100.0, 30.0, 60.0, 40.0, 30.0
G4, 230.0, 130.0, 50.0, 80.0, 60.0, 50.0
G5, 360.0, 130.0, 30.0, 40.0, 40.0, 60.0
G4, 150.0, 140.0, 50.0, 80.0, 60.0, 50.0
G1, 230.0, 40.0, 40.0, 60.0, 40.0, 30.0
G4, 330.0, 0.0, 100.0, 80.0, 60.0, 50.0
G1, 0.0, 75.0, 40.0, 60.0, 40.0, 30.0
G5, 70.0, 75.0, 40.0, 40.0, 40.0, 60.0
G5, 80.0, 125.0, 40.0, 40.0, 40.0, 60.0
G2, 370.0, 60.0, 25.0, 50.0, 35.0, 25.0
G1, 110.0, 0.0, 60.0, 60.0, 40.0, 30.0
G2, 370.0, 95.0, 25.0, 50.0, 35.0, 25.0
G1, 210.0, 0.0, 60.0, 60.0, 40.0, 30.0
G5, 170.0, 0.0, 60.0, 40.0, 40.0, 60.0
G2, 310.0, 130.0, 25.0, 50.0, 35.0, 25.0
G1, 270.0, 0.0, 60.0, 60.0, 40.0, 30.0
G2, 310.0, 165.0, 25.0, 50.0, 35.0, 25.0
G2, 80.0, 175.0, 25.0, 50.0, 35.0, 25.0
G1, 230.0, 90.0, 60.0, 60.0, 40.0, 30.0
G5, 0.0, 35.0, 60.0, 40.0, 40.0, 60.0
G2, 0.0, 0.0, 50.0, 50.0, 35.0, 25.0
G5, 330.0, 60.0, 60.0, 40.0, 40.0, 60.0
G2, 50.0, 40.0, 50.0, 50.0, 35.0, 25.0
G2, 100.0, 40.0, 50.0, 50.0, 35.0, 25.0
G4, 150.0, 40.0, 100.0, 80.0, 60.0, 50.0
G4, 0.0, 125.0, 100.0, 80.0, 60.0, 50.0
G4, 230.0, 130.0, 100.0, 80.0, 60.0, 50.0
G2, 370.0, 60.0, 50.0, 50.0, 35.0, 25.0
G4, 150.0, 140.0, 100.0, 80.0, 60.0, 50.0
G1, 150.0, 100.0, 60.0, 60.0, 40.0, 30.0
G2, 370.0, 95.0, 50.0, 50.0, 35.0, 25.0
G4, 330.0, 0.0, 150.0, 80.0, 60.0, 50.0
G1, 230.0, 40.0, 70.0, 60.0, 40.0, 30.0
G1, 0.0, 75.0, 70.0, 60.0, 40.0, 30.0
G2, 310.0, 130.0, 50.0, 50.0, 35.0, 25.0
G2, 310.0, 165.0, 50.0, 50.0, 35.0, 25.0
G5, 290.0, 90.0, 60.0, 40.0, 40.0, 60.0
G5, 360.0, 170.0, 70.0, 40.0, 40.0, 60.0
G5, 50.0, 0.0, 90.0, 40.0, 40.0, 60.0
G2, 80.0, 175.0, 50.0, 50.0, 35.0, 25.0
G1, 110.0, 0.0, 90.0, 60.0, 40.0, 30.0
G2, 0.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 210.0, 0.0, 90.0, 60.0, 40.0, 30.0
G2, 50.0, 40.0, 75.0, 50.0, 35.0, 25.0
G2, 100.0, 40.0, 75.0, 50.0, 35.0, 25.0
G2, 370.0, 60.0, 75.0, 50.0, 35.0, 25.0
G2, 370.0, 95.0, 75.0, 50.0, 35.0, 25.0
G1, 270.0, 0.0, 90.0, 60.0, 40.0, 30.0
G2, 310.0, 130.0, 75.0, 50.0, 35.0, 25.0
G2, 310.0, 165.0, 75.0, 50.0, 35.0, 25.0
G1, 230.0, 90.0, 90.0, 60.0, 40.0, 30.0
G2, 80.0, 175.0, 75.0, 50.0, 35.0, 25.0
G5, 150.0, 100.0, 90.0, 40.0, 40.0, 60.0
G2, 0.0, 0.0, 100.0, 50.0, 35.0, 25.0
G2, 50.0, 40.0, 100.0, 50.0, 35.0, 25.0
G2, 100.0, 40.0, 100.0, 50.0, 35.0, 25.0
G1, 230.0, 40.0, 100.0, 60.0, 40.0, 30.0
G2, 370.0, 60.0, 100.0, 50.0, 35.0, 25.0
G4, 150.0, 40.0, 150.0, 80.0, 60.0, 50.0
G5, 360.0, 130.0, 90.0, 40.0, 40.0, 60.0
G1, 0.0, 75.0, 100.0, 60.0, 40.0, 30.0
G2, 370.0, 95.0, 100.0, 50.0, 35.0, 25.0
G2, 310.0, 130.0, 100.0, 50.0, 35.0, 25.0
G1, 110.0, 0.0, 120.0, 60.0, 40.0, 30.0
G1, 210.0, 0.0, 120.0, 60.0, 40.0, 30.0
G5, 80.0, 125.0, 100.0, 40.0, 40.0, 60.0
G4, 0.0, 125.0, 150.0, 80.0, 60.0, 50.0
G4, 230.0, 130.0, 150.0, 80.0, 60.0, 50.0
G5, 0.0, 35.0, 120.0, 40.0, 40.0, 60.0
G2, 310.0, 165.0, 100.0, 50.0, 35.0, 25.0
G2, 80.0, 175.0, 100.0, 50.0, 35.0, 25.0
G1, 270.0, 0.0, 120.0, 60.0, 40.0, 30.0
G1, 230.0, 90.0, 120.0, 60.0, 40.0, 30.0
G2, 0.0, 0.0, 125.0, 50.0, 35.0, 25.0
G4, 150.0, 140.0, 150.0, 80.0, 60.0, 50.0
G1, 0.0, 75.0, 130.0, 60.0, 40.0, 30.0
G1, 0.0, 75.0, 160.0, 60.0, 40.0, 30.0
G2, 50.0, 40.0, 125.0, 50.0, 35.0, 25.0
G2, 370.0, 95.0, 125.0, 50.0, 35.0, 25.0
G5, 50.0, 0.0, 150.0, 40.0, 40.0, 60.0
G2, 80.0, 175.0, 125.0, 50.0, 35.0, 25.0
G1, 110.0, 0.0, 150.0, 60.0, 30.0, 40.0
G2, 0.0, 0.0, 150.0, 50.0, 35.0, 25.0
G2, 210.0, 0.0, 150.0, 50.0, 35.0, 25.0
G2, 270.0, 0.0, 150.0, 50.0, 35.0, 25.0
G2, 230.0, 90.0, 150.0, 50.0, 35.0, 25.0
G1, 330.0, 100.0, 0.0, 40.0, 30.0, 60.0
G2, 370.0, 95.0, 150.0, 50.0, 35.0, 25.0
G2, 80.0, 175.0, 150.0, 50.0, 35.0, 25.0
G1, 330.0, 100.0, 60.0, 40.0, 30.0, 60.0
G2, 210.0, 0.0, 175.0, 50.0, 35.0, 25.0
G2, 270.0, 0.0, 175.0, 50.0, 35.0, 25.0
G1, 170.0, 0.0, 120.0, 40.0, 30.0, 60.0
G5, 150.0, 100.0, 150.0, 40.0, 40.0, 60.0
G2, 230.0, 90.0, 175.0, 50.0, 35.0, 25.0
G1, 290.0, 90.0, 120.0, 40.0, 30.0, 60.0
G2, 80.0, 175.0, 175.0, 50.0, 35.0, 25.0
G1, 360.0, 170.0, 130.0, 40.0, 30.0, 60.0
G1, 300.0, 40.0, 0.0, 30.0, 40.0, 60.0
G1, 110.0, 75.0, 40.0, 30.0, 40.0, 60.0
G2, 0.0, 75.0, 190.0, 50.0, 35.0, 25.0
G1, 120.0, 125.0, 40.0, 30.0, 40.0, 60.0
G1, 300.0, 40.0, 60.0, 30.0, 40.0, 60.0
G2, 0.0, 185.0, 0.0, 50.0, 25.0, 35.0
G1, 110.0, 75.0, 100.0, 30.0, 40.0, 60.0
G2, 0.0, 185.0, 35.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 70.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 105.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 140.0, 50.0, 25.0, 35.0
G2, 50.0, 40.0, 150.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 175.0, 50.0, 25.0, 35.0
G2, 330.0, 60.0, 120.0, 35.0, 25.0, 50.0
G2, 80.0, 125.0, 160.0, 35.0, 25.0, 50.0
G2, 70.0, 75.0, 100.0, 25.0, 35.0, 50.0
G2, 120.0, 125.0, 100.0, 25.0, 35.0, 50.0
G2, 300.0, 40.0, 120.0, 25.0, 35.0, 50.0
G2, 70.0, 75.0, 150.0, 25.0, 35.0, 50.0
G2, 120.0, 125.0, 150.0, 25.0, 35.0, 50.0
G2, 110.0, 75.0, 160.0, 25.0, 35.0, 50.0

第5辆车，装载177件，容积利用率 67.92%，重量利用率 35.13%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G2, 0.0, 0.0, 0.0, 50.0, 35.0, 25.0
G4, 50.0, 0.0, 0.0, 80.0, 60.0, 50.0
G2, 130.0, 0.0, 0.0, 50.0, 35.0, 25.0
G3, 180.0, 0.0, 0.0, 70.0, 50.0, 40.0
G2, 250.0, 0.0, 0.0, 50.0, 35.0, 25.0
G1, 300.0, 0.0, 0.0, 60.0, 40.0, 30.0
G4, 300.0, 40.0, 0.0, 80.0, 60.0, 50.0
G5, 360.0, 0.0, 0.0, 40.0, 40.0, 60.0
G4, 180.0, 50.0, 0.0, 80.0, 60.0, 50.0
G3, 50.0, 60.0, 0.0, 70.0, 50.0, 40.0
G2, 0.0, 35.0, 0.0, 50.0, 35.0, 25.0
G1, 120.0, 60.0, 0.0, 60.0, 40.0, 30.0
G2, 0.0, 70.0, 0.0, 50.0, 35.0, 25.0
G2, 120.0, 100.0, 0.0, 50.0, 35.0, 25.0
G2, 300.0, 100.0, 0.0, 50.0, 35.0, 25.0
G5, 380.0, 40.0, 0.0, 40.0, 40.0, 60.0
G1, 350.0, 100.0, 0.0, 60.0, 40.0, 30.0
G1, 50.0, 110.0, 0.0, 60.0, 40.0, 30.0
G2, 0.0, 105.0, 0.0, 50.0, 35.0, 25.0
G2, 180.0, 110.0, 0.0, 50.0, 35.0, 25.0
G1, 230.0, 110.0, 0.0, 60.0, 40.0, 30.0
G5, 260.0, 50.0, 0.0, 40.0, 40.0, 60.0
G2, 120.0, 135.0, 0.0, 50.0, 35.0, 25.0
G2, 300.0, 135.0, 0.0, 50.0, 35.0, 25.0
G2, 0.0, 140.0, 0.0, 50.0, 35.0, 25.0
G5, 350.0, 140.0, 0.0, 40.0, 40.0, 60.0
G4, 50.0, 0.0, 50.0, 80.0, 60.0, 50.0
G1, 50.0, 150.0, 0.0, 60.0, 40.0, 30.0
G5, 180.0, 145.0, 0.0, 40.0, 40.0, 60.0
G1, 230.0, 150.0, 0.0, 60.0, 40.0, 30.0
G2, 120.0, 170.0, 0.0, 50.0, 35.0, 25.0
G4, 300.0, 40.0, 50.0, 80.0, 60.0, 50.0
G5, 300.0, 170.0, 0.0, 40.0, 40.0, 60.0
G1, 300.0, 0.0, 30.0, 60.0, 40.0, 30.0
G2, 0.0, 175.0, 0.0, 50.0, 35.0, 25.0
G1, 120.0, 60.0, 30.0, 60.0, 40.0, 30.0
G1, 350.0, 100.0, 30.0, 60.0, 40.0, 30.0
G2, 0.0, 0.0, 25.0, 50.0, 35.0, 25.0
G5, 50.0, 110.0, 30.0, 40.0, 40.0, 60.0
G2, 130.0, 0.0, 25.0, 50.0, 35.0, 25.0
G2, 250.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 230.0, 110.0, 30.0, 60.0, 40.0, 30.0
G4, 180.0, 50.0, 50.0, 80.0, 60.0, 50.0
G5, 50.0, 150.0, 30.0, 40.0, 40.0, 60.0
G1, 230.0, 150.0, 30.0, 60.0, 40.0, 30.0
G5, 180.0, 0.0, 40.0, 40.0, 40.0, 60.0
G1, 50.0, 60.0, 40.0, 60.0, 40.0, 30.0
G2, 0.0, 35.0, 25.0, 50.0, 35.0, 25.0
G5, 300.0, 0.0, 60.0, 40.0, 40.0, 60.0
G2, 0.0, 70.0, 25.0, 50.0, 35.0, 25.0
G2, 120.0, 100.0, 25.0, 50.0, 35.0, 25.0
G5, 360.0, 0.0, 60.0, 40.0, 40.0, 60.0
G2, 300.0, 100.0, 25.0, 50.0, 35.0, 25.0
G5, 380.0, 40.0, 60.0, 40.0, 40.0, 60.0
G5, 260.0, 50.0, 60.0, 40.0, 40.0, 60.0
G5, 120.0, 60.0, 60.0, 40.0, 40.0, 60.0
G2, 0.0, 105.0, 25.0, 50.0, 35.0, 25.0
G1, 350.0, 100.0, 60.0, 60.0, 40.0, 30.0
G4, 50.0, 0.0, 100.0, 80.0, 60.0, 50.0
G1, 230.0, 110.0, 60.0, 60.0, 40.0, 30.0
G2, 180.0, 110.0, 25.0, 50.0, 35.0, 25.0
G1, 230.0, 150.0, 60.0, 60.0, 40.0, 30.0
G4, 300.0, 40.0, 100.0, 80.0, 60.0, 50.0
G2, 120.0, 135.0, 25.0, 50.0, 35.0, 25.0
G1, 50.0, 60.0, 70.0, 60.0, 40.0, 30.0
G1, 350.0, 100.0, 90.0, 60.0, 40.0, 30.0
G4, 180.0, 50.0, 100.0, 80.0, 60.0, 50.0
G2, 300.0, 135.0, 25.0, 50.0, 35.0, 25.0
G1, 230.0, 110.0, 90.0, 60.0, 40.0, 30.0
G1, 230.0, 150.0, 90.0, 60.0, 40.0, 30.0
G5, 350.0, 140.0, 60.0, 40.0, 40.0, 60.0
G1, 50.0, 60.0, 100.0, 60.0, 40.0, 30.0
G5, 180.0, 145.0, 60.0, 40.0, 40.0, 60.0
G1, 350.0, 100.0, 120.0, 60.0, 40.0, 30.0
G2, 0.0, 140.0, 25.0, 50.0, 35.0, 25.0
G2, 120.0, 170.0, 25.0, 50.0, 35.0, 25.0
G1, 230.0, 110.0, 120.0, 60.0, 40.0, 30.0
G4, 50.0, 0.0, 150.0, 80.0, 60.0, 50.0
G2, 0.0, 175.0, 25.0, 50.0, 35.0, 25.0
G2, 0.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 50.0, 50.0, 35.0, 25.0
G4, 300.0, 40.0, 150.0, 80.0, 60.0, 50.0
G1, 230.0, 150.0, 120.0, 60.0, 40.0, 30.0
G1, 50.0, 60.0, 130.0, 60.0, 40.0, 30.0
G2, 250.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 0.0, 35.0, 50.0, 50.0, 35.0, 25.0
G2, 0.0, 70.0, 50.0, 50.0, 35.0, 25.0
G4, 180.0, 50.0, 150.0, 80.0, 60.0, 50.0
G2, 120.0, 100.0, 50.0, 50.0, 35.0, 25.0
G2, 300.0, 100.0, 50.0, 50.0, 35.0, 25.0
G5, 300.0, 170.0, 60.0, 40.0, 40.0, 60.0
G2, 0.0, 105.0, 50.0, 50.0, 35.0, 25.0
G1, 350.0, 100.0, 150.0, 60.0, 40.0, 30.0
G5, 50.0, 110.0, 90.0, 40.0, 40.0, 60.0
G2, 180.0, 110.0, 50.0, 50.0, 35.0, 25.0
G2, 120.0, 135.0, 50.0, 50.0, 35.0, 25.0
G2, 300.0, 135.0, 50.0, 50.0, 35.0, 25.0
G5, 50.0, 150.0, 90.0, 40.0, 40.0, 60.0
G2, 0.0, 140.0, 50.0, 50.0, 35.0, 25.0
G2, 120.0, 170.0, 50.0, 50.0, 35.0, 25.0
G5, 180.0, 0.0, 100.0, 40.0, 40.0, 60.0
G5, 300.0, 0.0, 120.0, 40.0, 40.0, 60.0
G2, 0.0, 175.0, 50.0, 50.0, 35.0, 25.0
G5, 260.0, 50.0, 120.0, 40.0, 40.0, 60.0
G1, 230.0, 110.0, 150.0, 60.0, 40.0, 30.0
G1, 230.0, 150.0, 150.0, 60.0, 40.0, 30.0
G1, 50.0, 60.0, 160.0, 60.0, 40.0, 30.0
G1, 350.0, 100.0, 180.0, 60.0, 40.0, 30.0
G1, 230.0, 110.0, 180.0, 60.0, 40.0, 30.0
G1, 230.0, 150.0, 180.0, 60.0, 40.0, 30.0
G5, 120.0, 60.0, 120.0, 40.0, 40.0, 60.0
G1, 350.0, 180.0, 0.0, 60.0, 30.0, 40.0
G2, 0.0, 0.0, 75.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 75.0, 50.0, 35.0, 25.0
G5, 180.0, 145.0, 120.0, 40.0, 40.0, 60.0
G5, 300.0, 170.0, 120.0, 40.0, 40.0, 60.0
G2, 250.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 350.0, 180.0, 40.0, 60.0, 30.0, 40.0
G1, 350.0, 180.0, 80.0, 60.0, 30.0, 40.0
G2, 0.0, 35.0, 75.0, 50.0, 35.0, 25.0
G1, 350.0, 180.0, 120.0, 60.0, 30.0, 40.0
G1, 350.0, 180.0, 160.0, 60.0, 30.0, 40.0
G1, 0.0, 70.0, 75.0, 40.0, 30.0, 60.0
G1, 120.0, 100.0, 75.0, 40.0, 30.0, 60.0
G2, 0.0, 105.0, 75.0, 50.0, 35.0, 25.0
G2, 120.0, 135.0, 75.0, 50.0, 35.0, 25.0
G2, 300.0, 135.0, 75.0, 50.0, 35.0, 25.0
G2, 0.0, 140.0, 75.0, 50.0, 35.0, 25.0
G1, 300.0, 100.0, 75.0, 40.0, 30.0, 60.0
G2, 120.0, 170.0, 75.0, 50.0, 35.0, 25.0
G2, 0.0, 175.0, 75.0, 50.0, 35.0, 25.0
G1, 180.0, 110.0, 75.0, 40.0, 30.0, 60.0
G2, 0.0, 0.0, 100.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 100.0, 50.0, 35.0, 25.0
G1, 250.0, 0.0, 100.0, 40.0, 30.0, 60.0
G2, 0.0, 35.0, 100.0, 50.0, 35.0, 25.0
G1, 0.0, 105.0, 100.0, 40.0, 30.0, 60.0
G2, 120.0, 135.0, 100.0, 50.0, 35.0, 25.0
G2, 120.0, 170.0, 100.0, 50.0, 35.0, 25.0
G2, 0.0, 175.0, 100.0, 50.0, 35.0, 25.0
G2, 0.0, 0.0, 125.0, 50.0, 35.0, 25.0
G1, 300.0, 135.0, 100.0, 40.0, 30.0, 60.0
G2, 130.0, 0.0, 125.0, 50.0, 35.0, 25.0
G1, 0.0, 140.0, 100.0, 40.0, 30.0, 60.0
G2, 120.0, 135.0, 125.0, 50.0, 35.0, 25.0
G2, 120.0, 170.0, 125.0, 50.0, 35.0, 25.0
G1, 360.0, 0.0, 120.0, 40.0, 30.0, 60.0
G2, 0.0, 175.0, 125.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 150.0, 50.0, 35.0, 25.0
G1, 0.0, 35.0, 125.0, 40.0, 30.0, 60.0
G1, 0.0, 70.0, 135.0, 40.0, 30.0, 60.0
G1, 120.0, 100.0, 135.0, 40.0, 30.0, 60.0
G2, 120.0, 135.0, 150.0, 50.0, 35.0, 25.0
G2, 120.0, 170.0, 150.0, 50.0, 35.0, 25.0
G1, 300.0, 100.0, 135.0, 40.0, 30.0, 60.0
G1, 180.0, 110.0, 135.0, 40.0, 30.0, 60.0
G2, 0.0, 175.0, 150.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 175.0, 50.0, 35.0, 25.0
